# time	az			error	height			error
# -----
1.56	325.3911777351686	0	52.99405120699746	0
1.6	326.43858649872544	0	51.83294064110788	0
1.64	326.53621663104843	0	51.67881102917741	0
1.68	327.74032117599614	0	50.566693999581624	0
1.72	327.9114962750941	0	49.35432724140145	0
1.76	329.5812848201553	0	48.55339734785397	0
1.8	330.4026571498754	0	47.346390801935186	0
1.84	331.17867316105514	0	46.13110185165136	0
1.88	331.9883091070835	0	45.27766435837263	0
1.92	332.8870846590892	0	44.094865823016576	0
1.96	333.74050978956893	0	42.90134036919583	0
2.0	334.8359387032378	0	42.10658908554423	0
2.04	335.4180228351426	0	41.54045070922654	0
2.08	335.96972880998044	0	39.58958460211628	0
2.12	336.49510350398356	0	38.32422155652406	0
2.16	336.1010433931953	0	39.10117276030845	0
2.2	337.8185518831891	0	35.84959277654302	0
2.24	338.1987221457061	0	34.89841804258818	0
2.28	339.00894637685	0	34.366360430505104	0
